Au seeds-chemos,,exp8,,exp9,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
1065,0.00977532443415835,1065,0.392713874340786,1065,0.273959536585894
1064,0.0120354019649231,1064,0.394989340972481,1064,0.277219564461495
1063,0.00961266461146188,1063,0.39788037149589,1063,0.274900199188076
1062,0.011470714238482,1062,0.401856064074659,1062,0.276774733281651
1061,0.0113881152289559,1061,0.403858987154536,1061,0.277146153808472
1060,0.0126764319427516,1060,0.406604537072215,1060,0.278846601073676
1059,0.0138080317532516,1059,0.410424443854983,1059,0.278020585675407
1058,0.0124077494702569,1058,0.409031429913787,1058,0.278677013714586
1057,0.0127266751463718,1057,0.411913422293769,1057,0.279706918793337
1056,0.0126138559639453,1056,0.417221026755196,1056,0.281877112669284
1055,0.0135371796969384,1055,0.419354274616832,1055,0.281821633262245
1054,0.0131445185575671,1054,0.421911018150718,1054,0.284173130975461
1053,0.0116568321895815,1053,0.422535911907487,1053,0.283782568464461
1052,0.013409866277276,1052,0.42507723777353,1052,0.285933471769336
1051,0.0113683713957995,1051,0.428219350491774,1051,0.28572905675759
1050,0.0126004518054546,1050,0.431790994341122,1050,0.288339075950018
1049,0.0124510620809844,1049,0.435863953095836,1049,0.288300009407512
1048,0.0118730907628219,1048,0.438021841358126,1048,0.2885921634299
1047,0.0133533508674005,1047,0.440865713326211,1047,0.29028189663107
1046,0.0123055051589921,1046,0.44312908187,1046,0.290943427816079
1045,0.0133761750531464,1045,0.443663795571678,1045,0.29114175994446
1044,0.0139040552849808,1044,0.445931460338062,1044,0.292386132615617
1043,0.0132619059858677,1043,0.449236187216025,1043,0.293970645442392
1042,0.0127727387446704,1042,0.450562010227911,1042,0.294675066633123
1041,0.0130315374424697,1041,0.453737357933201,1041,0.295237925457375
1040,0.0138365185682491,1040,0.456864822108997,1040,0.296885301612354
1039,0.0125888867208522,1039,0.457973759053828,1039,0.297599246998596
1038,0.0137112012430937,1038,0.459936064514876,1038,0.296483758207701
1037,0.0134356303476623,1037,0.462710691275321,1037,0.299344779572523
1036,0.0137250672019567,1036,0.465946447510222,1036,0.300502139283706
1035,0.0134106939075898,1035,0.469593318666362,1035,0.300274885770079
1034,0.0134003352934566,1034,0.471275956108955,1034,0.301987640793911
1033,0.0142627076583287,1033,0.472635591476754,1033,0.302591653056045
1032,0.0135593191656778,1032,0.474263071794505,1032,0.304229792708196
1031,0.0136009305336445,1031,0.475938686719894,1031,0.30354139986688
1030,0.0137767411672333,1030,0.47979994700121,1030,0.305206497681339
1029,0.0130753925008373,1029,0.480764659162408,1029,0.306782591006055
1028,0.0140987063676305,1028,0.482871423688928,1028,0.308406181339462
1027,0.0137883112066337,1027,0.485175635187822,1027,0.310926143377424
1026,0.0144111164028567,1026,0.48560166214974,1026,0.310234307236799
1025,0.0134989390269576,1025,0.488185596750122,1025,0.311163359802177
1024,0.0144453964808571,1024,0.491703972581623,1024,0.312807351263084
1023,0.0150453208899539,1023,0.492117805162313,1023,0.313570626795449
1022,0.0148902927097259,1022,0.494076043421348,1022,0.314359455832408
1021,0.0135699753557497,1021,0.497693184050207,1021,0.315746811389438
1020,0.0146759005773503,1020,0.498010368676529,1020,0.315936710273341
1019,0.0158561946694285,1019,0.499317592872363,1019,0.317810602006243
1018,0.015066250986668,1018,0.501818282114595,1018,0.318827887975105
1017,0.0147597432867558,1017,0.503280072633689,1017,0.321588815772445
1016,0.0152340498042822,1016,0.505890824292193,1016,0.32161989314261
1015,0.0157970245269812,1015,0.508208599647294,1015,0.323407662640352
1014,0.0159974946499105,1014,0.509233419627641,1014,0.323942893893783
1013,0.0160531464846378,1013,0.510561666075735,1013,0.324578194565299
1012,0.0161778518241703,1012,0.511014148991951,1012,0.32576235768146
1011,0.016371293847871,1011,0.51373041589629,1011,0.327209860032833
1010,0.0165876274091758,1010,0.514055055461544,1010,0.328648134156346
1009,0.0168503785434016,1009,0.515137431733781,1009,0.329328652274067
1008,0.0166924720651117,1008,0.517358657219251,1008,0.330837790523937
1007,0.0164136325398318,1007,0.518018239960485,1007,0.332452278065322
1006,0.0176838560490369,1006,0.519291337250744,1006,0.333133241450071
1005,0.0176312029196842,1005,0.521011451443597,1005,0.334548933931737
1004,0.0177262420072782,1004,0.520423451487355,1004,0.336000089387962
1003,0.0175313870899028,1003,0.522204404633321,1003,0.336650562731503
1002,0.0186922633823625,1002,0.524476844384263,1002,0.338668170998238
1001,0.01848206412764,1001,0.52414691937651,1001,0.339567702143241
1000,0.0184438717414958,1000,0.524951610725335,1000,0.341538379980579
999,0.0182100908702006,999,0.52634954492169,999,0.344394301855464
