e1,,exp2,,exp3,,exp4,,exp5-dilfac-2,,exp6,,exp7,,exp8,,exp9,,exp10 dil,,exp11-dil,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
1040,0.317853222797601,1040,0.314981816732459,1040,0.232852203334979,1040,0.29312621503623,1040,0.110015558430593,1040,0.252359758471783,1040,0.0987616238002104,1040,0.456864822108997,1040,0.296885301612354,1040,0.0731808355984376,1040,0.0472168134381773
1039,0.320531340208029,1039,0.316730657769134,1039,0.235138385976675,1039,0.293297319464073,1039,0.110808849658263,1039,0.252483491316423,1039,0.0990874179822293,1039,0.457973759053828,1039,0.297599246998596,1039,0.0740441533383323,1039,0.0472659053661268
1038,0.320501234039114,1038,0.318946486167836,1038,0.23654738333089,1038,0.293634539083149,1038,0.112411059540312,1038,0.255214477816288,1038,0.100985171023677,1038,0.459936064514876,1038,0.296483758207701,1038,0.0754938531043684,1038,0.0481862293565085
1037,0.322932382056417,1037,0.321306778372193,1037,0.23710372074076,1037,0.294949231980111,1037,0.115609269020168,1037,0.257241655787031,1037,0.101705421072006,1037,0.462710691275321,1037,0.299344779572523,1037,0.0759321193843259,1037,0.0489284614496807
1036,0.327186820335027,1036,0.323178129357136,1036,0.237927253355799,1036,0.295705921414972,1036,0.115271690677737,1036,0.257485632922061,1036,0.103053181842076,1036,0.465946447510222,1036,0.300502139283706,1036,0.075719063402608,1036,0.0486022904804647
1035,0.327849135242227,1035,0.324605223094906,1035,0.238216387745364,1035,0.295272205551121,1035,0.117991309834027,1035,0.261136329435597,1035,0.103453389839425,1035,0.469593318666362,1035,0.300274885770079,1035,0.0774656760717776,1035,0.0500260391843539
1034,0.329419422586488,1034,0.327449099719492,1034,0.239557222451793,1034,0.295738959842888,1034,0.118540629893884,1034,0.261556485135606,1034,0.104194759797796,1034,0.471275956108955,1034,0.301987640793911,1034,0.0778279570505902,1034,0.0499444558593435
1033,0.331325248421446,1033,0.329808471474783,1033,0.241154179752191,1033,0.297413655101395,1033,0.121617870659341,1033,0.262703064348182,1033,0.105693391872189,1033,0.472635591476754,1033,0.302591653056045,1033,0.0786084258056225,1033,0.0499440202472658
1032,0.3330727077508,1032,0.33196538885046,1032,0.242142593163147,1032,0.298651594160031,1032,0.122526010338133,1032,0.264554087812353,1032,0.107366622501814,1032,0.474263071794505,1032,0.304229792708196,1032,0.0792589212528149,1032,0.0506954033436517
1031,0.335687259150212,1031,0.333973082876002,1031,0.243013069445241,1031,0.29870262293919,1031,0.124255746317787,1031,0.266303717062709,1031,0.108277666946336,1031,0.475938686719894,1031,0.30354139986688,1031,0.0801872829648918,1031,0.0511591007689022
