iter	RMSE
146	0.3992748675
147	0.3965344822
148	0.3938042492
149	0.3904749228
150	0.3880348624
151	0.3855020079
152	0.3827358813
153	0.3803101615
154	0.3771428773
155	0.3755731647
156	0.3733431552
157	0.3705006336
158	0.3678041284
159	0.3646034144
160	0.362124607
161	0.3594623739
162	0.3571044551
163	0.3558980941
164	0.3532047169
165	0.3512253798
166	0.3487711486
167	0.3452569217
168	0.3435206406
169	0.3408746916
170	0.3381115902
171	0.3360061212
172	0.3331895534
173	0.3313543878
174	0.329046181
175	0.3263262524
176	0.3235652909
177	0.3219184829
178	0.3203792143
179	0.3186988743
180	0.3167391946
181	0.3147242302
182	0.3125489257
183	0.3106042418
184	0.3073431179
185	0.3055340224
186	0.3040266054
187	0.3019130108
188	0.3003838621
189	0.2982102825
190	0.2960972882
191	0.2939830291
192	0.2925467862
193	0.2906433562
194	0.2890949627
195	0.2876960965
196	0.2860275347
197	0.2836493822
198	0.2819012167
199	0.2798501643
200	0.278016816
201	0.2765155194
202	0.2744548014
203	0.2723490793
204	0.26989942
205	0.2682408086
206	0.2665427265
207	0.2653090572
208	0.263951963
209	0.2629551885
210	0.2608363717
211	0.2595388001
212	0.2578928018
213	0.2560844955
214	0.2540542336
215	0.2527270937
216	0.2507740348
217	0.2493582998
218	0.2475409792
219	0.2453605368
220	0.2438361684
221	0.2426271476
222	0.2417442279
223	0.2404115729
224	0.2389941364
225	0.236894087
226	0.2350277201
227	0.2336079478
228	0.2318897506
229	0.2306903802
230	0.2292980974
231	0.2273888016
232	0.2265158219
233	0.2250377039
234	0.2238015128
235	0.2222669491
236	0.2209264052
237	0.2194493182
238	0.2180833766
239	0.2165294047
240	0.215238106
241	0.2139965015
242	0.2127859753
243	0.2116536272
244	0.2106741131
245	0.2094527103
246	0.2086048039
247	0.2073794053
248	0.2060177003
249	0.2046382742
250	0.2029640521
251	0.2016751759
252	0.2005765283
253	0.1996175018
254	0.1988508442
255	0.1976817335
256	0.196755564
257	0.195581757
258	0.1944027827
259	0.1932101891
260	0.1921773529
261	0.1908961629
262	0.1897786614
263	0.1886462137
264	0.1873300386
265	0.1863467067
266	0.1854421393
267	0.1845399841
268	0.1835108688
269	0.1825253856
270	0.181150765
271	0.179981552
272	0.1786431477
273	0.1773950706
274	0.1763668781
275	0.1750889539
276	0.1738368885
277	0.1725940215
278	0.1713764208
279	0.1702160524
280	0.1690369915
281	0.1675993299
282	0.1665860737
283	0.1660449178
284	0.1652145166
285	0.1642462751
286	0.1634462632
287	0.1628804646
288	0.1623161802
289	0.1616229428
290	0.1605637711
291	0.1598014052
292	0.1589978724
293	0.1580737355
294	0.15736707
295	0.1562891085
296	0.1554013976
297	0.1546312858
298	0.1535811757
299	0.1526120046
300	0.1518197459
301	0.1507873914
302	0.1500975507
303	0.1490924534
304	0.1483656142
305	0.1476941669
306	0.1468346396
307	0.1460946344
308	0.145450911
309	0.1448462638
310	0.144223862
311	0.1435976196
312	0.1426566968
313	0.1420690355
314	0.1414448885
315	0.1408150859
316	0.1402542831
317	0.1395291224
318	0.1388350371
319	0.1382905899
320	0.1376687036
321	0.136995649
322	0.1363206724
323	0.1357958105
324	0.135488957
325	0.1351952258
326	0.1348968562
327	0.1346008847
328	0.1343097321
329	0.133733801
330	0.1334571635
331	0.1331837618
332	0.1326284277
333	0.1323540417
334	0.1320902832
335	0.131344253
336	0.1310773199
337	0.1308148889
338	0.1304934317
339	0.1297608039
340	0.129184534
341	0.1288729235
342	0.1283052414
343	0.1277229297
344	0.1274190331
345	0.1268598125
346	0.1263100826
347	0.1257398907
348	0.1250032688
349	0.1244681018
350	0.1239221831
351	0.1236343447
352	0.1230986637
353	0.1228163226
354	0.1225390118
355	0.1222666385
356	0.1217417444
357	0.1212263435
358	0.1209595942
359	0.1204383488
360	0.1201784716
361	0.1196737447
362	0.1192801998
363	0.1188961365
364	0.1184045887
365	0.1180317205
366	0.1176246161
367	0.1173775339
368	0.1169773348
369	0.1166186295
370	0.1162259917
371	0.1159868056
372	0.1156007329
373	0.1153875485
374	0.1150074182
375	0.1147980658
376	0.1144238491
377	0.1142175288
378	0.1138533054
379	0.1136508832
380	0.1131305169
381	0.1129311622
382	0.1125727992
383	0.1121932598
384	0.1120100053
385	0.1116370295
386	0.1114431909
387	0.1110761096
388	0.1108854199
389	0.1105458949
390	0.1101887953
391	0.1100012446
392	0.1096707983
393	0.1094987597
394	0.1091517234
395	0.1089691967
396	0.1085418218
397	0.1083750475
398	0.1080602741
399	0.1078966206
400	0.1075864934
401	0.107410612
402	0.107105225
403	0.1068040129
404	0.1066402453
405	0.1063424822
406	0.1061815032
407	0.1058883562
408	0.1054292061
409	0.1052722888
410	0.1049834342
411	0.1048291806
412	0.1045435689
413	0.1042624617
414	0.1038145432
415	0.1036641035
416	0.1033871058
417	0.1029481926
418	0.1026753127
419	0.1025175591
420	0.1022482498
421	0.1017418082
422	0.1015978429
423	0.1010337233
424	0.1004788243
425	0.09993300143
426	0.0993961123
427	0.09887649008
428	0.09835030721
429	0.0978327471
430	0.09732367391
431	0.09698236791
432	0.0964797526
433	0.09598494086
434	0.09549783098
435	0.09500387836
436	0.09451804896
437	0.09404021432
438	0.09356588403
439	0.09331739248
440	0.09285270852
441	0.09271569566
442	0.09227252226
443	0.09191091046
444	0.09147400442
445	0.09134144152
446	0.09091237032
447	0.09078281585
448	0.09035921892
449	0.09023239191
450	0.08981589898
451	0.08958276086
452	0.08912248482
453	0.08899909441
454	0.0885968281
455	0.08848155631
456	0.08809936079
457	0.08798687381
458	0.08754631548
459	0.08743617362
460	0.08705131148
461	0.08682851461
462	0.08646404172
463	0.08635705015
464	0.08593607453
465	0.08583128427
466	0.08544847911
467	0.08534561947
468	0.08498287151
469	0.0848822826
470	0.0846685097
471	0.08416395581
472	0.08406484119
473	0.08396743313
474	0.08375765528
475	0.08326347018
476	0.08316748442
477	0.08296164906
478	0.08286728395
479	0.08239371019
480	0.0821912908
481	0.08209895489
482	0.08162184542
483	0.0815308873
484	0.08133223551
485	0.08124281376
486	0.0807866115
487	0.08059124987
488	0.08039862548
489	0.08031110927
490	0.07985146987
491	0.07976525735
492	0.07957620854
493	0.07949145075
494	0.07905254543
495	0.0788666179
496	0.07854864983
497	0.07846617146
498	0.07828408336
499	0.07785674989
500	0.07777607992
501	0.07759699353
502	0.07729934381
503	0.07722057406
504	0.07688616007
505	0.07671088576
506	0.07653804852
507	0.07646067086
508	0.07616151959
509	0.07599223954
510	0.07590957363
511	0.07558314733
512	0.07541646559
513	0.07534185566
514	0.07506200337
515	0.07474268314
516	0.07457951313
517	0.07450004199
518	0.07422778568
519	0.07394797012
520	0.0738956013
521	0.07373674881
522	0.07367066
523	0.07336047435
524	0.07320396818
525	0.07312848186
526	0.07282204851
527	0.07277188427
528	0.07251482012
529	0.07245178426
530	0.07218776837
531	0.07203622486
532	0.07197428698
533	0.0718247711
534	0.07152625758
535	0.07137897749
536	0.07131805495
537	0.07097780512
538	0.07073276226
539	0.07038970828
540	0.07005784017
541	0.06980780318
542	0.06965532103
543	0.06933110088
544	0.06899914813
545	0.06868267677
546	0.06843955891
547	0.06829305881
548	0.06814874923
549	0.06777832101
550	0.06747009502
551	0.06711044876
552	0.0667323092
553	0.06637847548
554	0.06614621398
555	0.06584847814
556	0.06553993719
557	0.06519506814
558	0.06483445527
559	0.06449509495
560	0.06423207775
561	0.06389825913
562	0.06356904653
563	0.06327583562
564	0.06299864766
565	0.06265496731
566	0.06233409451
567	0.06210201633
568	0.06187843948
569	0.06165757425
570	0.0613449665
571	0.06109691525
572	0.060852049
573	0.06062737467
574	0.06038533265
575	0.06024217744
576	0.06000360662
577	0.05976670275
578	0.05962620064
579	0.05931306671
580	0.05899666298
581	0.05876487726
582	0.05853579289
583	0.05823985202
584	0.05810824894
585	0.05789652449
586	0.05776620523
587	0.05746389746
588	0.05724022187
589	0.05701105445
590	0.05688407049
591	0.05665916895
592	0.05653425363
593	0.05634952304
594	0.05609291322
595	0.05596908977
596	0.05584666455
597	0.05559399425
598	0.05547263918
599	0.05522053495
600	0.05510023882
601	0.05498130299
602	0.05473309832
603	0.05459837039
604	0.05448147934
605	0.05423707267
606	0.05410456092
607	0.05386419816
608	0.05373287302
609	0.05360306817
610	0.05340070513
611	0.05316525209
612	0.05303686774
613	0.05290430653
614	0.05277864237
615	0.05254686011
616	0.05237858882
617	0.0522392666
618	0.05211706803
619	0.05192325271
620	0.05175997378
621	0.05153407894
622	0.05137338424
623	0.05125470484
624	0.05113237145
625	0.05097589779
626	0.05078875722
627	0.05047663335
628	0.05032333589
629	0.05014081516
630	0.04998995306
631	0.04984534729
632	0.04970272938
633	0.04953874212
634	0.04939816169
635	0.04925951024
636	0.0489359637
637	0.04879959304
638	0.04866509146
639	0.04858675136
640	0.0484538975
641	0.04837705147
642	0.04824581904
643	0.048116378
644	0.04807161009
645	0.04792566242
646	0.04788141421
647	0.04775481624
648	0.04771107144
649	0.04756811095
650	0.04752487255
651	0.0473458232
652	0.04703662812
653	0.04691371956
654	0.0467924903
655	0.04660925591
656	0.0463067258
657	0.04613570051
658	0.04601818973
659	0.0458857959
660	0.04577108149
661	0.04572904337
662	0.0455550453
663	0.04526154649
664	0.04509797115
665	0.0449050246
666	0.04479493744
667	0.04460556779
668	0.04432115623
669	0.04421346316
670	0.04417335496
671	0.04398918491
672	0.04394949546
673	0.04382853613
674	0.04378927607
675	0.04368640749
676	0.04356760778
677	0.04352881389
678	0.0432547276
679	0.04307685397
680	0.0429768908
681	0.0428588278
682	0.04259224144
683	0.04242147042
684	0.04232204064
685	0.04220833663
686	0.04217105536
687	0.04191195979
688	0.04180092621
689	0.04169143951
690	0.04154499212
691	0.04138339404
692	0.04113290782
693	0.04103939316
694	0.04091829181
695	0.04077563727
696	0.04068132389
697	0.04064558318
698	0.0405123664
699	0.04039527626
700	0.04015289447
701	0.04002960692
702	0.03989114509
703	0.03979989812
704	0.03956334652
705	0.03946267753
706	0.03930637988
707	0.03917161092
708	0.03907406764
709	0.03898569301
710	0.03885483288
711	0.03862642676
712	0.03849513188
713	0.0383907296
714	0.03828776151
715	0.03818620808
716	0.03810084974
717	0.03806785256
718	0.03792254434
719	0.03770238667
720	0.03760407791
721	0.03750587429
722	0.03740903574
723	0.03719420561
724	0.03709912912
725	0.0370053702
726	0.03691290865
727	0.03670296344
728	0.03661217625
729	0.03652264185
730	0.03643434121
731	0.0362291364
732	0.03614242768
733	0.03605691083
734	0.03590180237
735	0.03581792161
736	0.03566598222
737	0.03558369767
738	0.03538572179
739	0.03530491422
740	0.03515761061
741	0.03507833267
742	0.03500013277
743	0.03484653473
744	0.03470491175
745	0.03462862839
746	0.03455337792
747	0.03435864392
748	0.03428452034
749	0.03413881052
750	0.03399584453
751	0.0339235613
752	0.03378369764
753	0.03359825606
754	0.03352768127
755	0.03339973023
756	0.03333046378
757	0.03319686609
758	0.03307348584
759	0.03300588191
760	0.03293918364
761	0.03276082118
762	0.03259112277
763	0.03252546946
764	0.03246069224
765	0.03234290825
766	0.03227931205
767	0.03221656203
768	0.03209351883
769	0.03198024656
770	0.0319189829
771	0.03179888299
772	0.03173843216
773	0.0316202339
774	0.03150208242
775	0.03144276968
776	0.03133404678
777	0.03127580713
778	0.03115947634
779	0.03110200661
780	0.03094226598
781	0.03088539748
782	0.03082927904
783	0.03072465074
784	0.03066953941
785	0.03055534487
786	0.03050095763
787	0.03037772546
788	0.03027119445
789	0.03021793142
790	0.03016536948
791	0.03005802423
792	0.02995619357
793	0.0298560353
794	0.02975751937
795	0.02966061635
796	0.02956529744
797	0.02947153444
798	0.02935493637
799	0.0292893638
800	0.02922461672
801	0.02914259544
802	0.02909223315
803	0.02901147075
804	0.02889411897
805	0.02881428233
806	0.02870225898
807	0.02863848478
808	0.02857551374
809	0.02851333604
810	0.02840777247
811	0.0283461906
812	0.02829921593
813	0.0282210062
814	0.02811737366
815	0.02805633202
816	0.02799605789
817	0.02791910016
818	0.02781716301
819	0.02775729345
820	0.02771112786
821	0.02763547664
822	0.02753539137
823	0.02747604063
824	0.02741743443
825	0.02737201883
826	0.02729748713
827	0.02719903025
828	0.02714092745
829	0.02708355311
830	0.02701998
831	0.02696320086
832	0.02689032713
833	0.02679392073
834	0.02667327221
835	0.02657861133
836	0.02648821736
837	0.02639222572
838	0.02629924632
839	0.02620538464
840	0.02614514468
841	0.02605918237
842	0.02596818553
843	0.02589758572
844	0.02580720809
845	0.02571778339
846	0.02562890761
847	0.02554091845
848	0.02545340089
849	0.02537261061
850	0.02528768917
851	0.02521868622
852	0.02513303434
853	0.02504899771
854	0.02498121398
855	0.02489721447
856	0.02481475573
857	0.02473202576
858	0.02465128971
859	0.02456991014
860	0.02449496214
861	0.0244412212
862	0.02437492802
863	0.02429518415
864	0.0242420472
865	0.02416444514
866	0.02408587856
867	0.02401049334
868	0.02394546409
869	0.02386848944
870	0.02379339291
871	0.02371958077
872	0.02366886361
873	0.02360011909
874	0.02353628639
875	0.02346394191
876	0.02341438964
877	0.02336552018
878	0.02329424554
879	0.02323234392
880	0.02316964175
881	0.02306927761
882	0.02300729663
883	0.02290897224
884	0.02284770349
885	0.0227781225
886	0.02270794684
887	0.02263926062
888	0.02257054131
889	0.02252824903
890	0.02246044228
891	0.02241887167
892	0.02235196361
893	0.02231109846
894	0.0221926337
895	0.0221576375
896	0.02204150958
897	0.02200198861
898	0.02196803782
899	0.0218543188
900	0.02181598086
901	0.02175163578
902	0.02171872974
903	0.02160796027
904	0.02157066628
905	0.0214620592
906	0.02143027042
907	0.02136800234
908	0.02133172283
909	0.02129615506
910	0.02118821111
911	0.02115738082
912	0.02109639994
913	0.02106612583
914	0.02096047982
915	0.02092597709
916	0.02086635316
917	0.02083673055
918	0.02073345479
919	0.02070418587
920	0.02062970124
921	0.02059610773
922	0.02053845225
923	0.02050542516
924	0.0204325717
925	0.02040004741
926	0.0203722922
927	0.02031594037
928	0.02028420207
929	0.02018494704
930	0.0201577855
931	0.02008080465
932	0.0200319935
933	0.01998720385
934	0.01995666767
935	0.01988693286
936	0.01984323135
937	0.01979583189
938	0.01975295886
939	0.01970663018
940	0.01962811146
941	0.01958623322
942	0.01954497981
943	0.0195162373
944	0.01947159856
945	0.0193955862
946	0.01935546085
947	0.01931593298
948	0.01927269115
949	0.01919901346
950	0.01916038937
951	0.01908133059
952	0.01904353245
953	0.01898552581
954	0.01894840704
955	0.0188758535
956	0.01880430114
957	0.01874511986
958	0.01867443594
959	0.01863776589
960	0.01856795618
961	0.0184986276
962	0.01844094167
963	0.01837197889
964	0.01831529066
965	0.0182471547
966	0.018179952
967	0.01814395314
968	0.01807757112
969	0.01803079204
970	0.01796529612
971	0.01790069699
972	0.01785470719
973	0.01779096674
974	0.0177457676
975	0.01768287155
976	0.01762069956
977	0.01757655164
978	0.01751455796
979	0.01747115133
980	0.01740997075
981	0.0173495946
982	0.01730717566
983	0.01725917487
984	0.01719737078
985	0.01711232906
986	0.0170705527
987	0.01702949865
988	0.01698915222
989	0.01692932625
990	0.01688963533
991	0.01683058331
992	0.01679153141
993	0.01674486167
994	0.01667928476
995	0.01665623095
996	0.01663348412
997	0.01655182308
998	0.01651373497
999	0.01649143824
7377
245020675
62
997	0.00804687559
998	0.008024816775
999	0.008002399237
995	0.005250931728
996	0.005235171288
997	0.005213720491
998	0.00520183767
999	0.005186337688
0.002957081065
996	0.002943204932
997	0.002929483576
998	0.0029159155
999	0.00290249922
