Wavelength (nm),Abs
1100,0.0155861555193231
1099,0.0168316764488886
1098,0.0145267589417958
1097,0.0185791267961675
1096,0.0162091815419236
1095,0.0157328431655927
1094,0.0154053733335339
1093,0.016184112213152
1092,0.0153757911307394
1091,0.0167018872670527
1090,0.0152286073876914
1089,0.0157351783311627
1088,0.0184443579035242
1087,0.0166457218854467
1086,0.0192750037955037
1085,0.0203188528553351
1084,0.0183372533513288
1083,0.0183143289556041
1082,0.0176914323702555
1081,0.01871255920989
1080,0.0211894880375479
1079,0.0188528722899586
1078,0.0175800117577577
1077,0.0195194038320268
1076,0.0205182735909164
1075,0.019001262614068
1074,0.0177569016049647
1073,0.0194921662732103
1072,0.0200281611098998
1071,0.0216157752296557
1070,0.0220580592251139
1069,0.0216765870667784
1068,0.0210514069954635
1067,0.0210991773624922
1066,0.0225727457200119
1065,0.0196388793877825
1064,0.0204804715799087
1063,0.0221944447429405
1062,0.0239398259911709
1061,0.0221453824273703
1060,0.0228141801915972
1059,0.0233604121013068
1058,0.023139177609181
1057,0.0237219869988488
1056,0.0242259500674151
1055,0.0242246088914101
1054,0.0245096882122987
1053,0.0243991881834385
1052,0.0253622635794748
1051,0.0242670632270489
1050,0.0253263425839046
1049,0.024493063486833
1048,0.0256249970213768
1047,0.0252869399279734
1046,0.0260698182207821
1045,0.0274254406088625
1044,0.025825358803397
1043,0.0261029968235506
1042,0.027024460809199
1041,0.0271450548141468
1040,0.0270569685761229
1039,0.0281232763515444
1038,0.0275013843107711
1037,0.0282290926951551
1036,0.0288020422663838
1035,0.0291545022563448
1034,0.0307155736045159
1033,0.0315467762351645
1032,0.0304105672298588
1031,0.0308474797932479
1030,0.0304926162675257
1029,0.0314933616993286
1028,0.0304200069391429
1027,0.0314366698714573
1026,0.0323802142316874
1025,0.0331089150592534
1024,0.0325136871961918
1023,0.0333503542611972
1022,0.0333666506535628
1021,0.0347180505757513
1020,0.0339290130776763
1019,0.0352328668287171
1018,0.0347181066563304
1017,0.0353199597025563
1016,0.0357190076872522
1015,0.0358510087750497
1014,0.0364047484238262
1013,0.037162882005324
1012,0.0369433269415375
1011,0.0375688775357672
1010,0.0374908989799007
1009,0.0385239021585132
1008,0.0388656598138065
1007,0.038401662547614
1006,0.0391504887534919
1005,0.0403353330148049
1004,0.0402966750893315
1003,0.0405463506136021
1002,0.0412750027833132
1001,0.0418984185688367
1000,0.0426860886706445
999,0.0426691817794675
998,0.0430173051508107
997,0.0434758766229534
996,0.0444107034341544
995,0.0450860503970927
994,0.0456891109682666
993,0.0460723607934756
992,0.0465570498499329
991,0.046438606762617
990,0.0472609699478685
989,0.0480141108752964
988,0.0483325489977047
987,0.0492480928519771
986,0.049922298279122
985,0.0498008146810439
984,0.0504295341035634
983,0.0510223646544916
982,0.0522751257463314
981,0.0531367684863472
980,0.0538895684788949
979,0.0541501168110273
978,0.0548835572225325
977,0.055795840727937
976,0.0569281099840878
975,0.057139110037356
974,0.0579216020091596
973,0.0587828247490618
972,0.0598568951427414
971,0.0607325962453725
970,0.061268243210468
969,0.0626950485336214
968,0.0636959012856068
967,0.063952173871192
966,0.0656988615067276
965,0.0661955386764279
964,0.0679250167832886
963,0.0686896638910642
962,0.0698787501208611
961,0.070887964915144
960,0.0727215858203718
959,0.0740232792727148
958,0.074108592996316
957,0.0762024427648475
956,0.0768423900374069
955,0.0788037545850916
954,0.0799814969019577
953,0.0813971370098892
952,0.0828123948138781
951,0.0846154125512543
950,0.085690213288251
949,0.0878952690727987
948,0.0888280998997018
947,0.0903834806113522
946,0.0929713154996967
945,0.094258463628524
944,0.0961853190354811
943,0.0978156971944002
942,0.0996686807658246
941,0.100943005767246
940,0.103591869063658
939,0.10560316158846
938,0.107833635387184
937,0.109653041771878
936,0.111603224399826
935,0.113857541034246
934,0.116547199686206
933,0.118289267638625
932,0.120719009011711
931,0.122822116345322
930,0.125299875176392
929,0.128355073471385
928,0.130513932075816
927,0.133776438763213
926,0.136243205788527
925,0.13914984618546
924,0.142291870832118
923,0.145105223200025
922,0.148659748508762
921,0.150944816142139
920,0.154636754178025
919,0.15801106559331
918,0.161609822487707
917,0.164751111199817
916,0.167553365785228
915,0.170873123796301
914,0.174779722673323
913,0.179023584404535
912,0.182407559840694
911,0.186740164505522
910,0.191455410960009
909,0.194998757855687
908,0.200088037632064
907,0.204507326590127
906,0.209125785357929
905,0.213596155326514
904,0.217323364414196
903,0.222764377586131
902,0.228536827048339
901,0.233178273721447
900,0.239231583080407
899,0.244561706639825
898,0.249877335158124
897,0.255976448834223
896,0.262002979645257
895,0.266728234481136
894,0.272969993233178
893,0.279372654466514
892,0.286324172529986
891,0.293107913650251
890,0.30005952860362
889,0.307781413532447
888,0.314555638714735
887,0.321215355631102
886,0.329958771046768
885,0.337504081598191
884,0.345737481366955
883,0.353791466749558
882,0.359709337241007
881,0.367080033835439
880,0.375672156414445
879,0.385910050827928
878,0.394967776665848
877,0.403641764500922
876,0.413071173492868
875,0.423453940175787
874,0.431706035134425
873,0.442257484259578
872,0.451845732288623
871,0.46392107396931
870,0.472112720788994
869,0.484211821089972
868,0.495318617892522
867,0.50437508500749
866,0.516549233399669
865,0.528461300007524
864,0.541649341557498
863,0.551695254443405
862,0.563755290625129
861,0.573972034964477
860,0.588964850091433
859,0.600772727965693
858,0.613197137051304
857,0.623318441207181
856,0.636936049625046
855,0.648862414181614
854,0.66255046599157
853,0.67487783912627
852,0.690531150386073
851,0.702257078153087
850,0.713991790121683
849,0.729772186356329
848,0.745419363568022
847,0.758022432286784
846,0.76984783622968
845,0.7823914115576
844,0.799172103946779
843,0.815442003590848
842,0.832146918916144
841,0.838648122344765
840,0.852866578954265
