Sample 1,,nr-poly-1day,,exp1,,exp2,,exp3-22-02-2023,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
1008,0.0357802246680614,1008,0.0234568226801228,1008,0.105857458943347,1008,0.0363476370437558,1008,0.0257015053611822
1007,0.0351747865445713,1007,0.0227096202977131,1007,0.106027701108904,1007,0.0362486880360374,1007,0.0263359506406236
1006,0.0353570538795313,1006,0.0230852583727918,1006,0.108175906275351,1006,0.0369073370411602,1006,0.0259937121789028
1005,0.0355109120004111,1005,0.0234940375884009,1005,0.108469529401924,1005,0.0372925020377589,1005,0.0263111699864695
1004,0.035621410026923,1004,0.024150987420012,1004,0.110135297062108,1004,0.0382710608753885,1004,0.0267250905328934
1003,0.0362531340662887,1003,0.0242252931643645,1003,0.111342396923674,1003,0.0382876277801527,1003,0.0275286324197916
1002,0.0361706085311905,1002,0.0246137783886301,1002,0.113137191351108,1002,0.0393224733629961,1002,0.0275640189024868
1001,0.0360621083629635,1001,0.0238787784878011,1001,0.113514866232669,1001,0.0392418559513828,1001,0.0275770102989674
1000,0.0362950359162987,1000,0.0249734649784607,1000,0.115369928383845,1000,0.0397386348016513,1000,0.0275130224639692
999,0.0361431785238062,999,0.025762946976552,999,0.116156732502376,999,0.0406445213805014,999,0.0297696468778723
998,0.0370036174118571,998,0.0253601504974893,998,0.117765692462459,998,0.0419488516942867,998,0.0286006345710969
997,0.0366782214943553,997,0.0257432528524218,997,0.119196393005674,997,0.0423677670033593,997,0.0297975367156259
996,0.0364435681832567,996,0.0259136626856843,996,0.119610400619202,996,0.041853948766691,996,0.0300908488580024
995,0.0372350481767851,995,0.0262584779791083,995,0.122418351146715,995,0.0431414228158942,995,0.0298959417127523
994,0.0373361686708378,994,0.0265417864747666,994,0.124192619475283,994,0.0441152699816664,994,0.0311544619408276
993,0.0376284080504789,993,0.0268839615778789,993,0.12529103217213,993,0.0448775808304699,993,0.0312424375041264
992,0.0376585857143818,992,0.026909986725281,992,0.125917084834583,992,0.0446798554810595,992,0.0312256086783986
