seeds-21-09-2023,,
Wavelength (nm),Abs,
1100,0.0147976933919287,
1099,0.00822160179369706,
1098,0.0142759224609048,
1097,0.0111672374090161,
1096,0.0117837390600297,
1095,0.0128326180626815,
1094,0.0106653799845724,
1093,0.015298854655458,
1092,0.0113828005153226,
1091,0.0144997524086354,
1090,0.0117013996148959,
1089,0.0125126288277773,
1088,0.0126805098215821,
1087,0.0146409061890713,
1086,0.0146993299189043,
1085,0.0160554833730922,
1084,0.0152759560153565,
1083,0.0119377684979461,
1082,0.0128037971110331,
1081,0.0130474090477529,
1080,0.0135405179040436,
1079,0.0144473768334519,
1078,0.0153973003838102,
1077,0.0148762555585724,
1076,0.014487654882924,
1075,0.0146444670805877,
1074,0.0180914934454531,
1073,0.0134489535079525,
1072,0.0177587353170469,
1071,0.0167798260763577,
1070,0.0170812475495454,
1069,0.0116407720189156,
1068,0.0160105743387089,
1067,0.0154437822460469,
1066,0.0166025537202729,
1065,0.0158518720766381,
1064,0.0156783058580761,
1063,0.0161327152097765,
1062,0.0163682832536296,
1061,0.0173419806944807,
1060,0.01578988384805,
1059,0.0152278299051745,
1058,0.0166225369542964,
1057,0.0149777672422472,
1056,0.0154807459852069,
1055,0.0163563486032409,
1054,0.0167411374078926,
1053,0.0152543991483864,
1052,0.017452558772226,
1051,0.0168095578888555,
1050,0.0149625483546713,
1049,0.0158571612178014,
1048,0.0170353439127936,
1047,0.0166927410680488,
1046,0.0156571852268725,
1045,0.0169729173685524,
1044,0.0159917740884864,
1043,0.0160958033942039,
1042,0.0153102507986668,
1041,0.0159261407381487,
1040,0.017288991872905,
1039,0.017173581052882,
1038,0.0164930253529753,
1037,0.0168536615840968,
1036,0.016748778012273,
1035,0.0157876289212004,
1034,0.0162926489219036,
1033,0.0177507263668043,
1032,0.016865125510994,
1031,0.0165791290540313,
1030,0.0171220129694961,
1029,0.0169852458326552,
1028,0.017225343793326,
1027,0.0168836137489438,
1026,0.0162475003755878,
1025,0.0173428697334144,
1024,0.0170283174499605,
1023,0.0171960413386267,
1022,0.0168585861916741,
1021,0.0175369392988154,
1020,0.0182656490047799,
1019,0.018087121560374,
1018,0.0184226972123158,
1017,0.0177780976318145,
1016,0.017910420899409,
1015,0.0181306534651082,
1014,0.0183919365659999,
1013,0.0183048517321147,
1012,0.018262922224938,
1011,0.0187063973936758,
1010,0.0181787514428787,
1009,0.0197414021831292,
1008,0.0188098085711107,
1007,0.0193148660719794,
1006,0.019759119274478,
1005,0.0200400886591015,
1004,0.0202960948680731,
1003,0.0202873880155345,
1002,0.0209030480228083,
1001,0.0212866684054389,
1000,0.0214131305821693,
999,0.0212528770730239,
998,0.0227841435829458,
997,0.0221147927948921,
996,0.0227184576763875,
995,0.0225168792557718,
994,0.0232187172905388,
993,0.0239493175700645,
992,0.0238902926156325,
991,0.0242909336381553,
990,0.024995345199839,
989,0.0252684197196296,
988,0.0259660930243914,
987,0.0254872830250141,
986,0.0263753110566223,
985,0.0268835209538884,
984,0.0276294211524219,
983,0.028513745333689,
982,0.0277293503145738,
981,0.0291555819090182,
980,0.0290129249109115,
979,0.0295306329012242,
978,0.0300041047924999,
977,0.0300478491543631,
976,0.0309951333069088,
975,0.0309390346245207,
974,0.031655379140154,
973,0.0318998001948982,
972,0.0325128223490311,
971,0.0323179687693952,
970,0.0331234143893718,
969,0.0334751784186874,
968,0.0332518342097407,
967,0.0344200845564967,
966,0.0339086092919143,
965,0.0341023299679042,
964,0.0345120874282001,
963,0.035029353233471,
962,0.0339969206458524,
961,0.0342810943404485,
960,0.0355395101151552,
959,0.0354622602030813,
958,0.0348384161689852,
957,0.0339500336180238,
956,0.0346063524346889,
955,0.0348810793640677,
954,0.0344629588886067,
953,0.033726165371792,
952,0.0336546078417413,
951,0.0336718947028113,
950,0.0333531215300052,
949,0.0337199826491693,
948,0.0339322878486143,
947,0.033500706791608,
946,0.0334349176599331,
945,0.0336251266596366,
944,0.0334427458484995,
943,0.0334389994835086,
942,0.0337289909892639,
941,0.0334206595361735,
940,0.0346406382410199,
939,0.0336305808071591,
938,0.0340482082543712,
937,0.0344813429052961,
936,0.0340917458845093,
935,0.0340510079706564,
934,0.0341122982823111,
933,0.0346238173927425,
932,0.0346214905600252,
931,0.0343159427782503,
930,0.0352135245858134,
929,0.0336434193017052,
928,0.0346263404784516,
927,0.033902479946804,
926,0.0347948316704474,
925,0.0345326036715594,
924,0.033566198264571,
923,0.0342429995691574,
922,0.034468899979623,
921,0.034071810427911,
920,0.033966772405768,
919,0.0344167500636194,
918,0.0344609411780705,
917,0.0343277089594327,
916,0.0345233263977582,
915,0.0344988308629063,
914,0.0347377633454121,
913,0.0342398064827597,
912,0.0345323794450821,
911,0.0342459686003801,
910,0.0352419066048151,
909,0.0344013388745229,
908,0.0341505216084942,
907,0.0357294066577619,
906,0.0352372743979052,
905,0.0351505349210036,
904,0.0351992921647739,
903,0.0350913711326774,
902,0.0357316551165574,
901,0.0356636724888671,
900,0.0355746563501246,
899,0.0358858709549993,
898,0.0358563784930209,
897,0.0359382257110214,
896,0.0359395473144596,
895,0.0361681889942041,
894,0.036439458022728,
893,0.0368184601198673,
892,0.0370472831979801,
891,0.0373297368755209,
890,0.0373987708119214,
889,0.037257103693879,
888,0.037985677846317,
887,0.0376172578071777,
886,0.0381167871849932,
885,0.0379039240850539,
884,0.0383270686033669,
883,0.0387316639696269,
882,0.038776579389474,
881,0.0391850785385131,
880,0.0390020191038146,
879,0.039313716652541,
878,0.0400512306933461,
877,0.0398825893821767,
876,0.0401182569778832,
875,0.0406114352960518,
874,0.0406392911100706,
873,0.0408205680870598,
872,0.040402289524813,
871,0.0414692755486913,
870,0.041472038077441,
869,0.0412054638354915,
868,0.0412953570582764,
867,0.042344080637587,
866,0.0423885150381332,
865,0.041593350352721,
864,0.0426762357570864,
863,0.0423579783847382,
862,0.0429624897094439,
861,0.043853683806064,
860,0.0438905117507003,
859,0.0437110980485958,
858,0.0447203976242888,
857,0.0454815015447646,
856,0.045365822695193,
855,0.0457490460646635,
854,0.0453090148255417,
853,0.0457421145676851,
852,0.0466506516683341,
851,0.046945883126161,
850,0.0462025084508722,
849,0.0462704621187389,
848,0.0467948402423229,
847,0.0472696863385244,
846,0.0483235219228274,
845,0.0480634954234625,
844,0.0495299798380687,
843,0.0486111785926042,
842,0.0494312884271427,
841,0.0496984916989088,
840,0.0496512716046418,
839,0.0491344211105339,
838,0.0506300115229935,
837,0.0505305464056245,
836,0.050836430695244,
835,0.0511535675946099,
834,0.0512465051522257,
833,0.0518243231785819,
832,0.0528176836342547,
831,0.0521146006290968,
830,0.0524922895799004,
829,0.0526466715940289,
828,0.0528004946255885,
827,0.0533346070887359,
826,0.0536090850824631,
825,0.0538533186835978,
824,0.0541016479124182,
823,0.0545443730724338,
822,0.0553469574721372,
821,0.0556005851039397,
820,0.0561625169037423,
819,0.0565233996762665,
818,0.0564149412315206,
817,0.0575285544051524,
816,0.0568112008239341,
815,0.0576385624234789,
814,0.0584582333873057,
813,0.0582566265876385,
812,0.0590529988347537,
811,0.0597135618890362,
810,0.0604406087280883,
809,0.0605030908197307,
808,0.0615432791600416,
807,0.062365518884392,
806,0.0616410626502524,
805,0.0631860847672306,
804,0.0629176067713506,
803,0.0648007480197143,
802,0.0645836806835636,
801,0.0655526241731889,
800,0.0655805310173406,
799,0.0668481925416257,
798,0.0675860522378494,
797,0.0676378646410494,
796,0.0678836721200365,
795,0.0677162755488768,
794,0.0693073321995689,
793,0.0711120794023406,
792,0.0710508571093064,
791,0.071451489123246,
790,0.0720323676459972,
789,0.0721437891860467,
788,0.0730102214133087,
787,0.0740086373283379,
786,0.0752964357475469,
785,0.0759118326433103,
784,0.0760136458749524,
783,0.0765647517484224,
782,0.0782183725410855,
781,0.0781600760473307,
780,0.0793735488804962,
779,0.0789133881864511,
778,0.0793924440586518,
777,0.0810280617991847,
776,0.0820808760701661,
775,0.0817410280063141,
774,0.0816997529548634,
773,0.0828836000364079,
772,0.0835415394707922,
771,0.0833245303420026,
770,0.0846382489631019,
769,0.0852579324880075,
768,0.0858360743243602,
767,0.0854856803772861,
766,0.0863075798846963,
765,0.0864137234273094,
764,0.0873838910970427,
763,0.0877025566371174,
762,0.0875719334381703,
761,0.0880478329881728,
760,0.0887403534555235,
759,0.0886877712485988,
758,0.0890769859292733,
757,0.0897214352390527,
756,0.0899691142936227,
755,0.0902234665648874,
754,0.0902149273408822,
753,0.091116710352195,
752,0.0912860612196395,
751,0.0913599154255497,
750,0.0918484615922274,
749,0.0923165222597625,
748,0.0922850186525413,
747,0.0927322701245254,
746,0.0927309882189516,
745,0.092650876628132,
744,0.093408104560153,
743,0.0932331437086269,
742,0.0938142327044505,
741,0.0943820418746338,
740,0.0945033384262454,
739,0.0950990839606664,
738,0.0952486558059141,
737,0.0960431422528213,
736,0.0962323231883022,
735,0.0968649672878724,
734,0.0971276649881323,
733,0.09719636737263,
732,0.0972330864869015,
731,0.0993736566240314,
730,0.098989478494028,
729,0.0990139612955256,
728,0.0996455286268483,
727,0.101083038936951,
726,0.100922136949568,
725,0.101293974188044,
724,0.102091060704562,
723,0.102734927040494,
722,0.103189859225169,
721,0.103714681058822,
720,0.104564536725162,
719,0.105325919007637,
718,0.105819640081784,
717,0.106444552418453,
716,0.106928388481849,
715,0.107437660174905,
714,0.108556302319959,
713,0.109251842901916,
712,0.110229910591819,
711,0.11084459956536,
710,0.11145289905023,
709,0.112278891634341,
708,0.112986300614811,
707,0.113637221455801,
706,0.114666179782044,
705,0.115610721609554,
704,0.116167048854217,
703,0.116792914726634,
702,0.117847415981499,
701,0.118532365572711,
700,0.119325640685949,
699,0.120324569759233,
698,0.121170670866405,
697,0.122005704658232,
696,0.122847636782255,
695,0.123939033022609,
694,0.124451594394692,
693,0.125439038032047,
692,0.126130538193239,
691,0.127025977049538,
690,0.127675862959495,
689,0.128749669967734,
688,0.129506628912764,
687,0.130727173897527,
686,0.131093160116463,
685,0.132180689531519,
684,0.132978675058408,
683,0.134039290651286,
682,0.134409314541446,
681,0.13521699320335,
680,0.136057371536106,
679,0.136927017728391,
678,0.137831366687203,
677,0.139132015199815,
676,0.139497161443959,
675,0.140748906376307,
674,0.141566894853349,
673,0.142854840453342,
672,0.143706503826554,
671,0.144179410721573,
670,0.145137366278676,
669,0.14605602170812,
668,0.146940895685884,
667,0.148131803741019,
666,0.149107904725654,
665,0.149833016098429,
664,0.151011111168168,
663,0.15201659775974,
662,0.153222961980089,
661,0.15446353253291,
660,0.155415293553076,
659,0.156234437239553,
658,0.157532759806509,
657,0.158738933631276,
656,0.159794131534973,
655,0.161144870746086,
654,0.162226396471176,
653,0.163251922764324,
652,0.164550743693622,
651,0.165896734402842,
650,0.166987397962246,
649,0.168405934502996,
648,0.169417610982633,
647,0.170923270016064,
646,0.172117746406153,
645,0.173387786426497,
644,0.17462114909999,
643,0.176285667354959,
642,0.17701694344843,
641,0.178404261480798,
640,0.179916738221979,
639,0.181259765295595,
638,0.182246885938565,
637,0.183998991419217,
636,0.18516317707204,
635,0.18617722253052,
634,0.18756661131697,
633,0.188502338062917,
632,0.189996971487486,
631,0.191861251631484,
630,0.192809878985321,
629,0.193965345030399,
628,0.195878960176832,
627,0.197108077933152,
626,0.198322660834928,
625,0.199964663476669,
624,0.20101686831957,
623,0.202339369892484,
622,0.203889141179198,
621,0.205306267526323,
620,0.206943004864222,
619,0.208503212983266,
618,0.209972692777305,
617,0.21111149275677,
616,0.212815930635495,
615,0.214147064172169,
614,0.215542581326897,
613,0.217240627335374,
612,0.218485824601495,
611,0.220268167374572,
610,0.221545454739819,
609,0.223171792836563,
608,0.224869014828909,
607,0.226195526905537,
606,0.227931711772507,
605,0.229361904760457,
604,0.230847429672566,
603,0.232388353558291,
602,0.23407656448428,
601,0.235284540159911,
600,0.236983398938839,
599,0.238426910513898,
598,0.240023668140648,
597,0.241344877774227,
596,0.24269338439048,
595,0.244342964423573,
594,0.245771845039355,
593,0.247018051631179,
592,0.248509674927955,
591,0.249972697999405,
590,0.251281448065419,
589,0.252583086448914,
588,0.254357350048059,
587,0.255952040937947,
586,0.257033136136058,
585,0.2586436174809,
584,0.26037959159712,
583,0.261771776292719,
582,0.263724049021045,
581,0.265038891591829,
580,0.266661646079481,
579,0.268499055428033,
578,0.269833515776645,
577,0.271251844616305,
576,0.273032459303844,
575,0.275059393444538,
574,0.276427943022724,
573,0.278202835482419,
572,0.279531033334355,
571,0.281075381429921,
570,0.282548529264758,
569,0.284791999791186,
568,0.285849024558041,
567,0.287603887127271,
566,0.289463253044985,
565,0.291027758497127,
564,0.292046127886227,
563,0.294049299599855,
562,0.29543046037294,
561,0.297197607739278,
560,0.298384190188882,
559,0.300385395942351,
558,0.301906290816088,
557,0.303449554242182,
556,0.305287370329165,
555,0.306713897107922,
554,0.308657726063292,
553,0.310066575020857,
552,0.312187538701237,
551,0.313561541168882,
550,0.315387730447908,
549,0.317942325602157,
548,0.319433382821806,
547,0.321727093206826,
546,0.323627091486565,
545,0.32568418419856,
544,0.32746079143651,
543,0.330209718200372,
542,0.332234826510071,
541,0.334104270738219,
540,0.336649045408703,
539,0.339020504639132,
538,0.341117818417322,
537,0.343342030419566,
536,0.345674505386552,
535,0.348288800972413,
534,0.350193317480051,
533,0.352497901042501,
532,0.354827143398596,
531,0.357475387428814,
530,0.360053368834971,
529,0.362110072009449,
528,0.364202937009318,
527,0.367120661762074,
526,0.369590538472889,
525,0.371949138245305,
524,0.374346298257557,
523,0.377147144259111,
522,0.379757470034182,
521,0.382511940068412,
520,0.385297757361296,
519,0.387690592876944,
518,0.390234688735233,
517,0.393285401728792,
516,0.395776608413344,
515,0.39919501823866,
514,0.401605119171144,
513,0.404619794606316,
512,0.407264237597905,
511,0.409941978881912,
510,0.412896146765821,
509,0.415932902517945,
508,0.418462366596779,
507,0.421398313603057,
506,0.424472618216115,
505,0.427411594290013,
504,0.430450410853087,
503,0.433159519716307,
502,0.436137762925175,
501,0.439304136074664,
500,0.442448197355351,
499,0.44497802693154,
498,0.447974522189992,
497,0.450828874614096,
496,0.453550450094629,
495,0.456922824057628,
494,0.460192022843731,
493,0.463123953729906,
492,0.465640711329344,
491,0.468166699453908,
490,0.471583961513955,
489,0.474536765173165,
488,0.4772281510374,
487,0.479886142179374,
486,0.483150440467798,
485,0.486188216692318,
484,0.488415242708498,
483,0.490867348796396,
482,0.493697492757242,
481,0.496610483445689,
480,0.499268557583194,
479,0.502110649925616,
478,0.5047054228649,
477,0.50721831808049,
476,0.509389980040261,
475,0.511858947961179,
474,0.514477720842872,
473,0.516261857136666,
472,0.518578640203439,
471,0.520962009393136,
470,0.522942369021999,
469,0.524913724745835,
468,0.526813738414082,
467,0.528694116254852,
466,0.530453315464824,
465,0.532386593425754,
464,0.533853481477343,
463,0.53573799087417,
462,0.537581529460508,
461,0.539216861023198,
460,0.540649058330864,
459,0.542267626512857,
458,0.543800019627584,
457,0.545554745177951,
456,0.547130278844984,
455,0.548711732200546,
454,0.550479882176021,
453,0.552385781393082,
452,0.553924052923074,
451,0.555656365702375,
450,0.557400053687076,
449,0.559217516519127,
448,0.560868971731855,
447,0.562582935275901,
446,0.564206595242062,
445,0.565782721377655,
444,0.56753286578073,
443,0.569300269631658,
442,0.571033584147145,
441,0.57269240162587,
440,0.574079881061179,
439,0.575927221180747,
438,0.577637123124126,
437,0.579433487681504,
436,0.581307146766032,
435,0.583282821026309,
434,0.585166225710116,
433,0.587006372306956,
432,0.589239265596851,
431,0.591642885743523,
430,0.593547036627701,
429,0.596178376504231,
428,0.598377115820087,
427,0.600662123155417,
426,0.603356559763079,
425,0.605868287169569,
424,0.608425515887682,
423,0.611162624860571,
422,0.614025751696361,
421,0.616931130404189,
420,0.619595421281407,
419,0.622606679651773,
418,0.625432559435568,
417,0.628545068300069,
416,0.631602372306039,
415,0.634559060048786,
414,0.638112845940235,
413,0.641629170411141,
412,0.644680797902779,
411,0.648007422882041,
410,0.651169513573478,
409,0.654223656895882,
408,0.657775100058588,
407,0.661862339992718,
406,0.665164018552713,
405,0.668871289052103,
404,0.6728140061292,
403,0.676737873650606,
402,0.681411476156025,
401,0.685273110574001,
400,0.690027208862869,
399,0.694588261751195,
398,0.698795787888241,
397,0.704539426979872,
396,0.710028365135604,
395,0.715096124082173,
394,0.720448691674922,
393,0.727092479774662,
392,0.732609235002203,
391,0.738589559455592,
390,0.745364667738501,
389,0.752267961613888,
388,0.759122887493832,
387,0.765649855785205,
386,0.772763880811154,
385,0.78061550578096,
384,0.787905381913377,
383,0.795954860127022,
382,0.805124240946957,
381,0.81384240691964,
380,0.823267871905469,
379,0.833154856869421,
378,0.843375629619874,
377,0.852829178820371,
376,0.863040165416571,
375,0.874337538525552,
374,0.887000734765586,
373,0.898173903709736,
372,0.908758860635251,
371,0.918764347749409,
370,0.929040553601232,
369,0.939232152748642,
368,0.948797819599597,
367,0.955802179425766,
366,0.963212403830254,
365,0.969663536274473,
364,0.97551065073475,
363,0.980673996408508,
362,0.984214890536863,
361,0.98711961271325,
360,0.989950011799016,
359,0.992494293707158,
358,0.993941993387822,
357,0.995200496566588,
356,0.9965684551845,
355,0.998005310888841,
354,0.999007301895338,
353,0.999674664079005,
352,1.00059947309779,
351,1.00153749089699,
350,1.00261632280423,
349,1.00360621429615,
348,1.00483610957824,
347,1.00605647123688,
346,1.00776871682398,
345,1.00880332251752,
344,1.01028375439675,
343,1.01207891699937,
342,1.0140492734104,
341,1.01581278275645,
340,1.01770102429036,
339,1.01954413165392,
338,1.021613034136,
337,1.02424981137572,
336,1.02649893723544,
335,1.03020465216452,
334,1.03369066487321,
333,1.03719720103775,
332,1.04258821917428,
331,1.0475746536551,
330,1.05375818835055,
329,1.05999555752039,
328,1.06769279919356,
327,1.07469923366692,
326,1.08326890745294,
325,1.09164714622171,
324,1.09991560785018,
323,1.11024081282266,
